BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;STAATSANGEHOERIGKEIT_CODE;STAATSANGEHOERIGKEIT_BEZEICHNUNG;ANZAHL_PERSONEN
4761;Sirnach;2014;Bezirk Münchwilen;2019;8207;Deutschland;253; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;8218;Italien;427; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;8255;Mazedonien;278; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;8231;Portugal;104; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);826; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;8207;Deutschland;54; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;8218;Italien;52; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;8255;Mazedonien;28; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;8231;Portugal;6; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);123; 
4781;Wängi;2014;Bezirk Münchwilen;2019;8207;Deutschland;152; 
4781;Wängi;2014;Bezirk Münchwilen;2019;8218;Italien;131; 
4781;Wängi;2014;Bezirk Münchwilen;2019;8255;Mazedonien;72; 
4781;Wängi;2014;Bezirk Münchwilen;2019;8231;Portugal;30; 
4781;Wängi;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);305; 
4786;Wilen;2014;Bezirk Münchwilen;2019;8207;Deutschland;83; 
4786;Wilen;2014;Bezirk Münchwilen;2019;8218;Italien;113; 
4786;Wilen;2014;Bezirk Münchwilen;2019;8255;Mazedonien;19; 
4786;Wilen;2014;Bezirk Münchwilen;2019;8231;Portugal;9; 
4786;Wilen;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);98; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;8207;Deutschland;28; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;8218;Italien;20; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;8231;Portugal;1; 
